datum,liga,liga_code,saison,team,gegner,vorquote_fair,torniveau_liga_saison,minute_gegentor,modell_p_sieg,modell_faire_quote,lohnt_ab_quote,live_quote_notiert,einsatz,notiert_am,bemerkung,endstand,ergebnis,treffer
2006-11-12,La Liga,SP1,0607,barcelona,zaragoza,1.552,2.479,17,0.4193,2.39,2.51,,,,,3:1,sieg,1
2006-11-18,Bundesliga,D1,0607,bayern munich,stuttgart,1.6978,2.735,8,0.3897,2.57,2.7,,,,,2:1,sieg,1
2006-11-18,Premier League,E0,0607,Arsenal,Newcastle,1.3462,2.45,30,0.5016,1.99,2.1,,,,,1:1,unentschieden,0
2006-11-18,Premier League,E0,0607,portsmouth,watford,1.7399,2.45,32,0.2792,3.58,3.77,,,,,2:1,sieg,1
2006-11-18,Griechenland Super League,G1,0607,aek,kerkyra,1.3382,2.329,2,0.6307,1.59,1.67,,,,,4:1,sieg,1
2006-11-18,Eredivisie,N1,0607,nijmegen,sparta,1.7258,2.99,34,0.2767,3.61,3.81,,,,,1:2,niederlage,0
2006-11-19,Eredivisie,N1,0607,ajax,twente,1.5279,2.99,8,0.4723,2.12,2.23,,,,,1:1,unentschieden,0
2006-11-24,Primeira Liga,P1,0607,boavista,est amadora,1.5887,2.308,11,0.4265,2.34,2.47,,,,,1:1,unentschieden,0
2006-11-25,La Liga,SP1,0607,ath madrid,sociedad,1.5056,2.479,24,0.4147,2.41,2.54,,,,,1:1,unentschieden,0
2006-11-26,Griechenland Super League,G1,0607,panathinaikos,kalamaria,1.2418,2.329,4,0.7121,1.4,1.48,,,,,3:2,sieg,1
2006-11-26,Eredivisie,N1,0607,groningen,den haag,1.5084,2.99,3,0.5061,1.98,2.08,,,,,2:5,niederlage,0
2006-12-02,Serie A,I1,0607,roma,atalanta,1.4356,2.55,20,0.4768,2.1,2.21,,,,,2:1,sieg,1
2006-12-02,Scottish Premiership,SC0,0607,hibernian,dundee united,1.6727,2.456,24,0.334,2.99,3.15,,,,,2:1,sieg,1
2006-12-03,Griechenland Super League,G1,0607,larisa,ergotelis,1.7377,2.329,26,0.302,3.31,3.49,,,,,2:1,sieg,1
2006-12-03,Primeira Liga,P1,0607,sp braga,academica,1.6444,2.308,2,0.4391,2.28,2.4,,,,,4:2,sieg,1
2006-12-10,Griechenland Super League,G1,0607,olympiakos,egaleo,1.2418,2.329,22,0.6419,1.56,1.64,,,,,3:2,sieg,1
2006-12-10,Griechenland Super League,G1,0607,paok,atromitos,1.4988,2.329,11,0.4761,2.1,2.21,,,,,0:3,niederlage,0
2006-12-10,Süper Lig,T1,0607,galatasaray,bursaspor,1.4532,2.405,4,0.5363,1.86,1.96,,,,,3:1,sieg,1
2006-12-23,Premier League,E0,0607,Arsenal,blackburn,1.4356,2.45,3,0.5526,1.81,1.91,,,,,6:2,sieg,1
2006-12-23,Premier League,E0,0607,portsmouth,Sheffield United,1.7931,2.45,4,0.3701,2.7,2.85,,,,,3:1,sieg,1
2006-12-23,Serie A,I1,0607,inter,atalanta,1.3462,2.55,17,0.5594,1.79,1.88,,,,,2:1,sieg,1
2006-12-23,Eredivisie,N1,0607,feyenoord,sparta,1.3889,2.99,16,0.5289,1.89,1.99,,,,,3:2,sieg,1
2006-12-23,Scottish Premiership,SC0,0607,kilmarnock,motherwell,1.7692,2.456,15,0.3337,3.0,3.16,,,,,1:2,niederlage,0
2006-12-26,Scottish Premiership,SC0,0607,celtic,dundee united,1.2382,2.456,17,0.6662,1.5,1.58,,,,,2:2,unentschieden,0
2006-12-30,Premier League,E0,0607,Chelsea,Fulham,1.2297,2.45,16,0.6798,1.47,1.55,,,,,2:2,unentschieden,0
2006-12-30,Scottish Premiership,SC0,0607,rangers,st mirren,1.34,2.456,14,0.5779,1.73,1.82,,,,,1:1,unentschieden,0
2006-12-31,Eredivisie,N1,0607,az alkmaar,roda jc,1.3889,2.99,23,0.4977,2.01,2.12,,,,,2:2,unentschieden,0
2007-01-14,Griechenland Super League,G1,0607,aek,ofi,1.3491,2.329,18,0.5525,1.81,1.91,,,,,3:1,sieg,1
2007-01-21,Serie A,I1,0607,inter,fiorentina,1.6557,2.55,5,0.4208,2.38,2.5,,,,,3:1,sieg,1
2007-01-24,Ligue 1,F1,0607,lyon,bordeaux,1.538,2.25,3,0.4889,2.05,2.15,,,,,1:2,niederlage,0
2007-01-24,Ligue 1,F1,0607,sochaux,sedan,1.6719,2.25,22,0.3423,2.92,3.08,,,,,1:1,unentschieden,0
2007-01-28,Serie A,I1,0607,fiorentina,livorno,1.6604,2.55,27,0.327,3.06,3.22,,,,,2:1,sieg,1
2007-01-31,Bundesliga,D1,0607,schalke 04,aachen,1.4278,2.735,17,0.4957,2.02,2.12,,,,,2:1,sieg,1
2007-02-03,Primeira Liga,P1,0607,sp lisbon,nacional,1.6005,2.308,26,0.3569,2.8,2.95,,,,,5:1,sieg,1
2007-02-04,La Liga,SP1,0607,real madrid,levante,1.384,2.479,11,0.555,1.8,1.9,,,,,0:1,niederlage,0
2007-02-17,Belgien Pro League,B1,0607,anderlecht,mouscron,1.2777,2.784,7,0.6647,1.5,1.58,,,,,2:1,sieg,1
2007-02-17,Scottish Premiership,SC0,0607,hearts,st mirren,1.6034,2.456,14,0.4062,2.46,2.59,,,,,1:1,unentschieden,0
2007-02-24,Belgien Pro League,B1,0607,charleroi,beveren,1.6667,2.784,21,0.3485,2.87,3.02,,,,,2:1,sieg,1
2007-02-24,Ligue 1,F1,0607,lyon,sochaux,1.5213,2.25,9,0.4717,2.12,2.23,,,,,3:3,unentschieden,0
2007-02-24,Ligue 1,F1,0607,rennes,sedan,1.7959,2.25,14,0.3285,3.04,3.21,,,,,0:2,niederlage,0
2007-02-25,Serie A,I1,0607,udinese,parma,1.7955,2.55,8,0.3528,2.83,2.99,,,,,3:3,unentschieden,0
2007-02-26,Primeira Liga,P1,0607,sp braga,est amadora,1.7771,2.308,12,0.3429,2.92,3.07,,,,,2:1,sieg,1
2007-02-28,Serie A,I1,0607,lazio,catania,1.6557,2.55,17,0.3696,2.71,2.85,,,,,3:1,sieg,1
2007-03-03,Serie A,I1,0607,milan,chievo,1.51,2.55,16,0.4472,2.24,2.35,,,,,3:1,sieg,1
2007-03-04,Bundesliga,D1,0607,dortmund,cottbus,1.7399,2.735,6,0.3814,2.62,2.76,,,,,2:3,niederlage,0
2007-03-04,Serie A,I1,0607,fiorentina,torino,1.5056,2.55,15,0.4542,2.2,2.32,,,,,5:1,sieg,1
2007-03-04,Eredivisie,N1,0607,ajax,heerenveen,1.384,2.99,18,0.5239,1.91,2.01,,,,,0:1,niederlage,0
2007-03-04,La Liga,SP1,0607,zaragoza,sociedad,1.6604,2.479,17,0.3676,2.72,2.86,,,,,3:2,sieg,1
2007-03-11,Ligue 1,F1,0607,lens,sedan,1.6604,2.25,2,0.4318,2.32,2.44,,,,,1:1,unentschieden,0
